id_grupo_pesquisa,codigo,base_pesquisa,home_page,id_coordenador,coordenador,area_conhecimento_cnpq,situacao
49,GCC048-02,LETRAMENTO E ETNOGRAFIA,Sem home page,15548,MARIA DO SOCORRO OLIVEIRA,Linguística,CONSOLIDADO
117009255,GEC398-16,Linguagem e Processos Cognitivos,Sem home page,5757111,MAHAYANA CRISTINA GODOY,Linguística,EM CONSOLIDACÃO
145,GCC143-02,"LINGUAGENS DA CENA: IMAGEM, CULTURA E REPRESENTAÇÃO",Sem home page,5753061,MARIA DE LURDES BARROS DA PAIXAO,Artes,CONSOLIDADO
123336496,GEC476-18,LITERATURA DE AUTORIA FEMININA,Sem home page,5758382,MAURO DUNDER,Letras,EM CONSOLIDACÃO
2332217,GEF235-10,LITERATURA E SOCIEDADE,Sem home page,23193,VALDENIDES CABRAL DE ARAÚJO DIAS,Linguística,EM CONSOLIDACÃO
39,GCC038-97,"LÓGICA, CONHECIMENTO E ÉTICA",www,25431,DANIEL DURANTE PEREIRA ALVES,Filosofia,CONSOLIDADO
87,GCB087-97,"Lógica, Linguagem, Informação, Teoria e Aplicações",Sem home page,26044,BENJAMIN RENE CALLEJAS BEDREGAL,Ciência da Computação,CONSOLIDADO
73,GCB073-00,MAGNETISMO E MATERIAIS MAGNÉTICOS,Sem home page,16849,ARTUR DA SILVA CARRICO,Ciências Exatas e da Terra,CONSOLIDADO
120131958,GED475-18,Marcadores moleculares nas doenças complexas,Sem home page,26212,ADRIANA AUGUSTO DE REZENDE,Farmácia,EM CONSOLIDACÃO
97750794,GEC323-13,Marginália - Grupo de Estudos Transdisciplinares em Comunicação e Cultura,Sem home page,25907,ALEXSANDRO GALENO ARAUJO DANTAS,Comunicação,CONSOLIDADO
106985326,GEB372-15,Matemática Aplicada,Sem home page,5755031,EDGAR SILVA PEREIRA,Matemática,EM CONSOLIDACÃO
13771210,GEB215-09,MATEMÁTICA APLICADA,Sem home page,5755031,EDGAR SILVA PEREIRA,Matemática,CONSOLIDADO
